,id,type,counts
619,chekhov-chorus-girl-stories,overborrows,1
620,chekhov-chorus-girl-stories,unknown_borrows,1
621,chekhov-darling-stories,overborrows,2
622,chekhov-horse-stealers-stories,overborrows,2
623,chekhov-lady-dog,overborrows,2
624,chekhov-letters-anton-pavlovitch,overborrows,1
625,chekhov-letters-tchehov-family,overborrows,1
626,chekhov-letters-tchehov-family,sunday_shopers,1
627,chekhov-note-books-anton,overborrows,1
628,chekhov-plays-anton-tchekov,overborrows,1
629,chesterton-autobiography-g-k,overborrows,3
630,chesterton-century-detective-stories,overborrows,2
631,chesterton-century-detective-stories,sunday_shopers,1
632,chesterton-century-detective-stories,unknown_borrows,1
633,chesterton-club-queer-trades,overborrows,1
634,chesterton-everlasting-man,overborrows,1
635,chesterton-everlasting-man,sunday_shopers,1
636,chesterton-george-bernard-shaw,unknown_borrows,2
637,chesterton-incredulity-father-brown,unknown_borrows,1
638,chesterton-innocence-father-brown,overborrows,3
639,chesterton-magic-fantastic-comedy,overborrows,3
640,chesterton-man-thursday,overborrows,2
641,chesterton-manalive,longterm_borrows,1
642,chesterton-manalive,overborrows,4
643,chesterton-manalive,unknown_borrows,1
644,chesterton-new-jerusalem,overborrows,1
645,chesterton-new-jerusalem,sunday_shopers,1
646,chesterton-orthodoxy,overborrows,3
647,chesterton-outline-sanity,overborrows,1
648,chesterton-paradoxes-mr-pond,overborrows,1
649,chesterton-poems,overborrows,1
650,chesterton-return-don-quixote,overborrows,1
651,chesterton-return-don-quixote,post1942_events,1
652,chesterton-scandal-father-brown,overborrows,5
653,chesterton-secret-father-brown,overborrows,1
654,chesterton-things-considered,overborrows,1
655,chesterton-victorian-age-literature,overborrows,3
656,chesterton-well-shallows,overborrows,1
657,child-diplomat-looks-europe,overborrows,1
658,child-thomas-hardy,overborrows,2
659,chilton-follow-furies,overborrows,2
660,chinese-theatre,unknown_borrows,1
661,christian-symbols,overborrows,1
662,christie-abc-murders,overborrows,4
663,christie-cards-table,overborrows,5
664,christie-death-nile,overborrows,4
665,christie-death-nile,unknown_borrows,1
666,christie-didnt-ask-evans,overborrows,1
